CASEID,wer_01,wer_03,wer_04,wer_05,wer_06,wer_07,wer_08,wer_09,ttlincg2,famincg2
1,6,96,8,10,10,6,7,10,2,5
2,10,5,8,8,5,5,10,10,4,4
3,96,96,96,96,96,96,96,96,2,2
4,96,96,96,96,96,96,96,96,1,3
5,10,9,9,10,9,5,9,9,1,2
6,8,0,8,8,7,7,3,6,5,6
7,10,7,10,10,5,8,10,10,4,4
8,5,10,6,7,8,4,5,5,5,6
9,9,3,9,9,1,4,7,9,1,4
10,9,0,10,10,0,0,10,10,2,6
11,96,96,96,96,96,96,96,96,2,2
12,96,96,96,96,96,96,96,96,2,2
13,96,96,96,96,96,96,96,96,1,4
14,8,6,9,10,10,3,5,8,3,5
15,10,10,10,10,7,3,10,10,4,6
16,96,96,96,96,96,96,96,96,2,2
17,96,96,96,96,96,96,96,96,1,3
18,96,96,96,96,96,96,96,96,1,2
19,8,7,8,10,0,5,9,8,5,6
20,10,8,10,10,0,0,10,10,1,2
21,10,10,10,10,0,0,10,10,4,4
22,96,96,96,96,96,96,96,96,1,2
23,9,96,10,10,10,2,7,8,2,5
24,96,96,96,96,96,96,96,96,2,2
25,8,5,9,10,0,4,10,10,6,6
26,8,4,8,9,5,7,7,7,2,2
27,96,96,96,96,96,96,96,96,1,6
28,10,10,10,10,5,10,0,10,2,5
29,5,9,9,9,5,6,8,8,3,6
30,96,96,96,96,96,96,96,96,1,2
31,96,96,96,96,96,96,96,96,3,3
32,96,96,96,96,96,96,96,96,2,2
33,7,7,6,8,2,1,7,5,3,5
34,10,10,10,10,10,3,8,10,1,1
35,96,96,96,96,96,96,96,96,2,6
36,10,3,0,10,10,7,9,10,3,3
37,96,96,96,96,96,96,96,96,1,2
38,96,96,96,96,96,96,96,96,6,6
39,10,5,10,10,1,1,10,10,4,6
40,96,96,96,96,96,96,96,96,6,6
41,7,0,7,10,0,0,7,10,2,2
42,6,5,6,9,6,3,5,8,2,2
43,2,6,8,8,7,4,6,8,3,3
44,96,96,96,96,96,96,96,96,2,2
45,96,96,96,96,96,96,96,96,1,5
46,0,5,10,10,0,5,8,10,3,6
47,5,96,10,10,0,5,10,10,3,3
48,96,96,96,96,96,96,96,96,1,5
49,96,96,96,96,96,96,96,96,2,2
50,96,96,96,96,96,96,96,96,1,1
51,96,96,96,96,96,96,96,96,1,4
52,96,96,96,96,96,96,96,96,2,2
53,96,96,96,96,96,96,96,96,2,5
54,96,96,96,96,96,96,96,96,1,2
55,96,96,96,96,96,96,96,96,1,1
56,8,4,8,8,4,4,8,8,5,6
57,96,96,96,96,96,96,96,96,2,2
58,2,96,10,10,8,7,8,10,4,6
59,9,10,10,10,9,9,10,10,1,3
60,10,5,7,10,0,5,10,10,2,6
61,8,0,8,10,2,2,10,10,2,4
62,10,7,10,10,10,0,10,10,4,5
63,9,6,10,10,6,3,10,10,2,6
64,10,2,10,10,10,8,9,10,3,5
65,96,96,96,96,96,96,96,96,2,3
66,7,7,8,7,10,5,7,7,2,4
67,5,7,10,10,0,2,2,9,5,6
68,7,7,7,7,7,7,8,8,2,3
69,96,96,96,96,96,96,96,96,1,1
70,10,5,10,10,0,1,10,10,1,6
71,10,10,10,10,5,8,10,10,1,2
72,96,96,96,96,96,96,96,96,2,5
73,96,96,96,96,96,96,96,96,1,2
74,10,2,10,10,4,3,8,10,2,2
75,96,96,96,96,96,96,96,96,2,3
76,7,5,10,10,10,0,10,10,2,2
77,10,2,10,10,5,0,8,10,6,6
78,96,96,96,96,96,96,96,96,3,4
79,5,10,8,10,10,7,8,10,6,6
80,10,96,10,10,0,5,10,10,1,1
81,10,6,9,10,0,7,10,10,3,6
82,10,96,5,7,5,8,9,10,1,3
83,10,8,10,8,0,10,10,10,3,6
84,6,5,6,10,5,4,7,9,3,3
85,10,10,10,10,0,0,10,10,2,5
86,96,96,96,96,96,96,96,96,2,2
87,96,96,96,96,96,96,96,96,2,2
88,10,7,10,10,0,2,10,10,1,2
89,96,96,96,96,96,96,96,96,4,4
90,96,96,96,96,96,96,96,96,2,3
91,96,96,96,96,96,96,96,96,3,3
