"","CASEID","Being happy when working hard","Cannot wait to leave work at the end of the day","Extra effort to get the job done without reward","Take pride in own work","Being happiest if never had to work again in life","Working drains energy from more important things","Best reward from working - Sense of accomplishment","Admiration for those who work hard","Income - Personal income group (before tax)"
"1",2,10,5,8,8,5,5,10,10,4
"2",5,10,9,9,10,9,5,9,9,1
"3",6,8,0,8,8,7,7,3,6,5
"4",7,10,7,10,10,5,8,10,10,4
"5",8,5,10,6,7,8,4,5,5,5
"6",9,9,3,9,9,1,4,7,9,1
"7",10,9,0,10,10,0,0,10,10,2
"8",14,8,6,9,10,10,3,5,8,3
"9",15,10,10,10,10,7,3,10,10,4
"10",19,8,7,8,10,0,5,9,8,5
"11",20,10,8,10,10,0,0,10,10,1
"12",21,10,10,10,10,0,0,10,10,4
"13",25,8,5,9,10,0,4,10,10,6
"14",26,8,4,8,9,5,7,7,7,2
"15",28,10,10,10,10,5,10,0,10,2
"16",29,5,9,9,9,5,6,8,8,3
"17",33,7,7,6,8,2,1,7,5,3
"18",34,10,10,10,10,10,3,8,10,1
"19",36,10,3,0,10,10,7,9,10,3
"20",39,10,5,10,10,1,1,10,10,4
"21",41,7,0,7,10,0,0,7,10,2
"22",42,6,5,6,9,6,3,5,8,2
"23",43,2,6,8,8,7,4,6,8,3
"24",46,0,5,10,10,0,5,8,10,3
"25",56,8,4,8,8,4,4,8,8,5
"26",59,9,10,10,10,9,9,10,10,1
"27",60,10,5,7,10,0,5,10,10,2
"28",61,8,0,8,10,2,2,10,10,2
"29",62,10,7,10,10,10,0,10,10,4
"30",63,9,6,10,10,6,3,10,10,2
"31",64,10,2,10,10,10,8,9,10,3
"32",66,7,7,8,7,10,5,7,7,2
"33",67,5,7,10,10,0,2,2,9,5
"34",68,7,7,7,7,7,7,8,8,2
"35",70,10,5,10,10,0,1,10,10,1
"36",71,10,10,10,10,5,8,10,10,1
"37",74,10,2,10,10,4,3,8,10,2
"38",76,7,5,10,10,10,0,10,10,2
"39",77,10,2,10,10,5,0,8,10,6
"40",79,5,10,8,10,10,7,8,10,6
"41",81,10,6,9,10,0,7,10,10,3
"42",83,10,8,10,8,0,10,10,10,3
"43",84,6,5,6,10,5,4,7,9,3
"44",85,10,10,10,10,0,0,10,10,2
"45",88,10,7,10,10,0,2,10,10,1
"46",92,10,6,9,10,8,6,7,10,3
"47",93,8,5,8,10,5,3,5,8,3
"48",94,8,5,9,10,10,5,9,8,1
"49",95,8,5,5,10,5,4,8,5,2
"50",96,10,5,10,10,5,8,10,10,4
"51",100,8,7,8,10,5,5,4,9,4
"52",101,10,0,10,10,0,0,10,10,6
"53",102,9,0,8,9,0,2,10,10,1
"54",103,10,10,10,10,10,7,10,10,3
"55",104,8,5,8,9,5,2,9,9,3
"56",105,8,10,10,10,0,5,10,10,3
"57",107,10,5,10,10,0,0,10,10,4
"58",108,10,7,10,10,4,6,10,10,2
"59",109,10,5,10,10,2,0,10,10,1
"60",112,9,2,9,10,0,0,10,10,1
"61",113,9,8,9,10,7,7,10,10,3
"62",114,5,8,9,10,2,3,8,10,3
"63",119,7,4,8,9,2,5,10,9,3
"64",121,8,5,8,10,1,6,8,8,2
"65",122,9,9,10,10,7,5,9,10,3
"66",126,7,10,9,10,10,10,6,8,3
"67",127,9,10,10,10,10,2,10,10,1
"68",128,5,8,9,8,3,5,5,10,5
"69",130,4,10,2,10,2,5,2,10,3
"70",131,9,3,9,10,0,2,9,9,3
"71",132,10,6,10,10,0,0,10,10,3
"72",134,7,7,7,8,8,5,7,8,4
"73",136,7,6,10,10,6,7,7,10,5
"74",139,10,5,10,10,7,2,8,10,1
"75",140,8,7,8,10,5,5,6,8,3
"76",142,7,9,7,8,10,5,6,7,1
"77",144,8,10,10,6,0,4,7,10,2
"78",147,8,5,10,10,5,5,8,10,6
"79",149,9,6,8,10,5,0,8,10,3
"80",151,8,8,6,10,10,6,3,8,3
"81",152,10,3,9,10,9,0,5,7,3
"82",155,7,2,7,9,3,7,10,8,2
"83",157,10,0,10,10,0,2,8,10,3
"84",162,10,7,7,8,6,8,7,7,6
"85",163,7,5,8,8,2,4,6,9,1
"86",164,5,10,4,7,10,10,2,6,2
"87",165,8,4,8,10,2,5,9,9,1
"88",167,8,5,8,8,5,5,6,8,4
"89",169,8,2,8,9,4,2,8,8,2
"90",171,7,10,10,10,10,5,10,10,4
"91",175,9,4,10,10,0,5,6,9,2
"92",178,10,5,10,10,10,1,8,10,2
"93",181,9,8,10,10,4,4,10,10,3
"94",182,6,0,10,10,0,0,10,5,3
"95",184,10,4,8,10,7,5,8,8,3
"96",187,10,1,10,10,1,0,5,10,4
"97",189,8,2,10,9,0,2,8,9,6
"98",190,8,3,7,9,2,5,9,9,2
"99",191,8,5,7,8,8,0,8,8,3
"100",196,10,6,8,8,3,6,7,10,3
"101",197,8,5,9,8,8,6,8,9,3
"102",200,10,7,10,10,10,3,10,10,4
"103",201,9,2,10,10,1,6,9,9,2
"104",203,8,8,9,9,6,5,7,10,2
"105",204,8,2,8,10,0,0,5,8,6
"106",205,8,8,10,10,10,8,10,10,3
"107",206,8,2,8,10,3,3,8,10,2
"108",208,9,9,10,10,10,5,10,10,4
"109",209,8,5,10,10,7,9,7,10,2
"110",211,7,10,4,0,4,8,9,6,3
"111",214,8,7,8,10,10,3,10,8,5
"112",215,8,7,9,5,2,4,7,10,2
"113",217,9,3,9,9,1,4,7,10,3
"114",219,10,3,8,10,0,1,10,7,5
"115",220,10,1,10,10,0,0,10,10,3
"116",223,4,5,5,6,8,8,8,6,2
"117",224,10,4,10,10,4,3,7,10,3
"118",225,10,5,10,10,6,5,7,10,1
"119",229,6,3,10,10,8,7,9,8,2
"120",230,8,9,8,9,4,10,8,8,4
"121",231,9,3,9,10,5,5,10,9,3
"122",232,8,10,8,10,10,7,7,10,2
"123",235,7,5,8,10,8,5,8,8,2
"124",236,8,5,8,8,10,3,8,8,3
"125",237,6,8,9,9,6,6,7,9,3
"126",238,8,4,8,10,4,4,8,8,1
"127",239,10,5,9,10,2,2,7,10,3
"128",240,10,2,10,10,3,4,4,10,2
"129",241,10,0,9,10,0,0,10,8,4
"130",248,7,2,10,10,10,2,9,10,3
"131",249,10,10,10,10,2,0,10,10,2
"132",254,8,0,8,10,0,2,8,8,6
"133",255,8,2,9,10,6,4,8,7,5
"134",256,10,10,8,8,5,6,10,10,2
"135",257,10,10,10,10,0,3,10,10,2
"136",259,7,1,8,9,1,1,6,6,4
"137",262,10,10,10,10,10,8,10,10,2
"138",265,7,4,7,9,2,0,10,10,4
"139",267,10,7,7,10,10,6,10,7,3
"140",269,8,6,8,10,7,6,10,10,5
"141",270,10,10,8,10,10,8,10,10,2
"142",271,8,5,10,10,10,10,9,10,6
"143",272,8,7,9,9,10,9,8,10,4
"144",273,7,5,8,10,5,2,7,7,2
"145",275,4,5,7,8,1,3,5,9,2
"146",280,10,10,5,10,10,10,5,10,2
"147",283,10,5,10,10,10,5,10,10,2
"148",284,9,8,1,10,7,5,7,10,3
"149",286,10,5,10,10,0,5,10,10,2
"150",288,7,7,6,8,3,6,6,8,5
"151",290,4,4,9,10,3,8,8,10,3
"152",291,8,8,7,8,6,3,5,8,5
"153",292,7,3,10,10,1,1,10,8,2
"154",298,8,4,8,8,10,4,8,10,2
"155",299,8,7,9,6,4,6,6,10,1
"156",301,8,5,8,10,4,5,7,9,3
"157",302,8,4,8,9,4,4,8,7,1
"158",305,8,10,10,8,10,7,9,9,3
"159",308,10,5,10,10,0,5,10,10,3
"160",309,10,1,10,10,0,0,8,10,6
"161",310,7,5,7,8,0,0,6,6,4
"162",312,8,3,8,8,1,3,8,8,3
"163",313,9,6,8,9,1,2,8,8,1
"164",315,8,6,7,8,10,7,8,8,3
"165",322,9,2,9,10,0,2,10,9,3
"166",326,6,6,8,3,9,4,7,4,1
"167",327,8,7,9,9,3,8,8,9,5
"168",328,10,0,10,10,5,0,8,10,2
"169",334,10,6,9,10,0,0,5,7,1
"170",335,7,9,10,8,7,6,9,8,1
"171",337,10,0,10,10,0,0,7,10,2
"172",338,8,8,6,7,3,5,7,8,3
"173",339,8,2,8,8,2,6,8,8,4
"174",340,10,2,8,10,5,4,10,10,4
"175",341,8,3,10,10,1,3,3,10,4
"176",344,10,10,10,10,9,10,10,10,2
"177",345,9,9,7,10,10,7,7,8,3
"178",346,8,3,10,10,10,4,8,8,3
"179",348,10,7,9,10,7,2,8,10,1
"180",349,8,10,2,10,10,7,7,5,3
"181",351,6,10,8,7,10,8,8,10,3
"182",352,10,9,10,10,0,2,9,10,3
"183",354,10,5,10,10,1,10,10,10,2
"184",355,8,8,8,9,4,4,8,9,2
"185",356,8,7,10,10,10,7,7,6,3
"186",358,8,3,10,10,5,5,7,8,4
"187",360,7,7,8,10,10,8,9,9,3
"188",361,9,6,7,10,10,5,9,10,2
"189",363,7,3,8,8,5,8,10,10,1
"190",368,9,3,7,10,4,4,7,3,4
"191",369,9,0,7,6,5,6,6,7,2
"192",371,5,10,0,10,10,5,0,5,3
"193",373,10,10,8,9,7,7,8,10,2
"194",374,7,6,9,9,10,5,7,10,2
"195",379,10,7,10,10,7,7,10,10,3
"196",381,8,2,8,10,10,5,10,10,4
"197",382,10,5,10,10,5,3,10,10,4
"198",383,10,0,10,10,0,1,9,10,1
"199",385,10,5,10,10,0,0,5,10,2
"200",387,10,3,10,10,1,1,10,10,2
"201",388,10,10,8,5,10,10,6,8,3
"202",389,9,7,9,9,5,4,7,9,3
"203",390,10,0,10,10,10,0,10,10,3
"204",391,9,4,9,10,4,7,8,9,2
"205",392,8,2,5,8,0,1,8,8,1
"206",394,7,7,9,9,2,2,8,10,1
"207",397,10,5,8,10,1,1,10,10,3
"208",401,5,9,4,6,8,7,8,8,2
"209",402,8,3,4,8,5,6,4,9,1
"210",403,6,2,9,10,2,5,8,9,4
"211",404,10,5,10,10,10,10,10,10,6
"212",406,10,2,9,10,3,2,9,10,6
"213",407,10,6,2,10,8,8,10,10,1
"214",408,8,6,8,8,7,6,9,10,4
"215",409,8,8,5,5,7,3,8,10,1
"216",414,10,4,10,10,1,6,10,10,2
"217",417,6,2,8,9,2,5,6,9,4
"218",420,10,9,10,10,10,10,7,10,6
"219",422,8,0,5,10,6,3,8,8,6
"220",423,10,0,10,10,0,0,10,10,1
"221",425,9,6,10,8,7,6,10,10,1
"222",427,8,10,8,7,4,5,5,8,3
"223",429,10,9,7,8,10,4,10,10,3
"224",432,0,5,8,9,5,5,0,5,4
"225",433,10,6,10,10,6,5,7,9,4
"226",434,7,5,8,10,5,6,7,8,3
"227",435,7,4,7,9,3,3,5,7,2
"228",439,10,10,6,10,10,5,5,5,6
"229",440,5,7,5,8,3,3,8,5,3
"230",442,9,5,9,10,0,3,10,10,2
"231",444,10,0,10,10,7,7,8,10,2
"232",445,7,6,6,5,5,7,7,8,4
"233",446,10,0,10,10,0,0,10,10,2
"234",447,10,10,10,10,1,5,9,10,4
"235",449,8,8,5,10,7,7,8,10,2
"236",450,8,3,8,8,10,5,7,8,3
"237",451,7,5,7,9,0,3,5,6,3
"238",456,9,4,10,10,5,5,7,8,3
"239",460,8,2,8,10,8,1,10,10,6
"240",462,7,9,9,9,4,8,6,6,2
"241",467,9,2,9,9,1,8,10,9,4
"242",468,7,0,8,8,5,3,7,7,2
"243",469,9,3,8,10,9,10,7,8,5
"244",470,5,9,5,5,10,5,5,10,2
"245",472,10,5,10,10,0,3,8,10,3
"246",473,8,4,10,10,10,2,10,10,1
"247",474,10,3,10,10,5,5,10,10,2
"248",476,10,8,10,9,8,8,8,10,2
"249",478,8,6,10,8,0,2,10,8,1
"250",479,10,0,10,10,5,0,10,10,4
"251",480,6,5,3,8,9,7,7,5,3
"252",481,5,4,5,5,1,6,6,5,3
"253",482,8,4,9,10,1,10,10,10,3
"254",484,7,10,10,10,7,10,10,10,2
"255",485,8,7,8,8,10,9,7,10,2
"256",487,5,5,7,7,10,5,3,6,1
"257",488,8,5,6,8,7,7,6,9,1
"258",489,7,9,9,10,3,4,5,8,5
"259",491,8,6,8,9,7,3,8,8,3
"260",493,9,7,8,10,3,3,9,10,6
"261",494,7,4,8,9,4,4,7,7,3
"262",495,8,4,8,10,0,0,9,9,1
"263",496,8,9,5,10,10,4,9,5,2
"264",497,10,5,10,10,10,5,5,10,2
"265",498,10,0,10,10,0,0,10,10,2
"266",502,8,2,10,10,5,7,3,6,6
"267",503,10,2,10,10,2,0,10,10,4
"268",504,6,10,5,4,10,10,0,3,3
"269",507,8,10,10,10,6,1,10,10,2
