CASEID,ttlincg2,famincg2
    1,2,5
    2,4,4
    3,2,2
    4,1,3
    5,1,2
    6,5,6
    7,4,4
    8,5,6
    9,1,4
   10,2,6
   11,2,2
   12,2,2
   13,1,4
   14,3,5
   15,4,6
   16,2,2
   17,1,3
   18,1,2
   19,5,6
   20,1,2
   21,4,4
   22,1,2
   23,2,5
   24,2,2
   25,6,6
   26,2,2
   27,1,6
   28,2,5
   29,3,6
   30,1,2
   31,3,3
   32,2,2
   33,3,5
   34,1,1
   35,2,6
   36,3,3
   37,1,2
   38,6,6
   39,4,6
   40,6,6
   41,2,2
   42,2,2
   43,3,3
   44,2,2
   45,1,5
   46,3,6
   47,3,3
   48,1,5
   49,2,2
   50,1,1
   51,1,4
   52,2,2
   53,2,5
   54,1,2
   55,1,1
   56,5,6
   57,2,2
   58,4,6
   59,1,3
   60,2,6
   61,2,4
   62,4,5
   63,2,6
   64,3,5
   65,2,3
   66,2,4
   67,5,6
   68,2,3
   69,1,1
   70,1,6
   71,1,2
   72,2,5
   73,1,2
   74,2,2
   75,2,3
   76,2,2
   77,6,6
   78,3,4
   79,6,6
   80,1,1
   81,3,6
   82,1,3
   83,3,6
   84,3,3
   85,2,5
   86,2,2
   87,2,2
   88,1,2
   89,4,4
   90,2,3
   91,3,3
   92,3,6
   93,3,6
   94,1,6
   95,2,4
   96,4,6
   97,3,5
   98,1,1
   99,1,2
  100,4,6
  101,6,6
  102,1,1
  103,3,6
  104,3,3
  105,3,5
  106,1,2
  107,4,6
  108,2,6
  109,1,1
  110,3,3
  111,1,2
  112,1,2
  113,3,5
  114,3,5
  115,1,1
  116,2,6
  117,1,2
  118,1,2
  119,3,3
  120,2,2
  121,2,2
  122,3,6
  123,1,1
  124,1,1
  125,2,2
  126,3,4
  127,1,4
  128,5,5
  129,1,1
  130,3,3
  131,3,3
  132,3,6
  133,2,4
  134,4,4
  135,3,3
  136,5,5
  137,1,4
  138,1,6
  139,1,2
  140,3,3
  141,1,1
  142,1,3
  143,1,1
  144,2,2
  145,1,1
  146,4,6
  147,6,6
  148,1,3
  149,3,3
  150,2,4
  151,3,5
  152,3,6
  153,1,1
  154,1,3
  155,2,3
  156,1,1
  157,3,3
  158,3,3
  159,2,6
  160,2,2
  161,1,3
  162,6,6
  163,1,6
  164,2,3
  165,1,6
  166,1,4
  167,4,4
  168,1,3
  169,2,2
  170,2,2
  171,4,6
  172,2,2
  173,1,3
  174,1,1
  175,2,3
  176,1,2
  177,1,1
  178,2,2
  179,1,1
  180,3,5
  181,3,3
  182,3,3
  183,4,4
  184,3,3
  185,1,2
  186,1,3
  187,4,4
  188,2,2
  189,6,6
  190,2,2
  191,3,3
  192,2,2
  193,1,3
  194,2,2
  195,1,4
  196,3,3
  197,3,5
  198,1,1
  199,1,1
  200,4,6
  201,2,6
  202,3,3
  203,2,2
  204,6,6
  205,3,4
  206,2,2
  207,1,6
  208,4,5
  209,2,6
  210,1,2
  211,3,4
  212,2,2
  213,5,5
  214,5,5
  215,2,5
  216,3,3
  217,3,4
  218,1,2
  219,5,6
  220,3,4
  221,1,6
  222,1,6
  223,2,6
  224,3,3
  225,1,1
  226,2,5
  227,2,4
  228,1,3
  229,2,2
  230,4,6
  231,3,5
  232,2,5
  233,2,6
  234,1,1
  235,2,3
  236,3,4
  237,3,6
  238,1,1
  239,3,6
  240,2,2
  241,4,5
  242,1,1
  243,2,2
  244,1,2
  245,1,1
  246,1,3
  247,1,1
  248,3,5
  249,2,5
  250,1,6
  251,2,2
  252,2,5
  253,2,4
  254,6,6
  255,5,5
  256,2,4
  257,2,6
  258,2,2
  259,4,5
  260,1,1
  261,1,3
  262,2,3
  263,4,6
  264,2,2
  265,4,6
  266,1,6
  267,3,3
  268,1,5
  269,5,5
  270,2,2
  271,6,6
  272,4,6
  273,2,6
  274,3,6
  275,2,2
  276,2,5
  277,1,1
  278,1,1
  279,6,6
  280,2,2
  281,3,3
  282,3,3
  283,2,6
  284,3,5
  285,2,5
  286,2,2
  287,3,3
  288,5,6
  289,6,6
  290,3,6
  291,5,6
  292,2,3
  293,1,2
  294,1,1
  295,2,5
  296,2,2
  297,1,4
  298,2,2
  299,1,1
  300,1,1
  301,3,3
  302,1,1
  303,3,4
  304,1,2
  305,3,3
  306,1,1
  307,3,3
  308,3,6
  309,6,6
  310,4,6
  311,2,2
  312,3,6
  313,1,1
  314,1,1
  315,3,6
  316,1,1
  317,3,3
  318,2,4
  319,2,6
  320,6,6
  321,2,4
  322,3,5
  323,2,3
  324,2,3
  325,4,4
  326,1,5
  327,5,5
  328,2,4
  329,1,3
  330,2,5
  331,2,2
  332,4,5
  333,1,1
  334,1,1
  335,1,3
  336,1,1
  337,2,3
  338,3,6
  339,4,6
  340,4,4
  341,4,6
  342,3,6
  343,3,5
  344,2,2
  345,3,6
  346,3,6
  347,2,5
  348,1,5
  349,3,5
  350,2,6
  351,3,3
  352,3,3
  353,2,2
  354,2,2
  355,2,3
  356,3,6
  357,3,5
  358,4,4
  359,2,3
  360,3,4
  361,2,2
  362,2,3
  363,1,1
  364,3,6
  365,6,6
  366,1,4
  367,1,2
  368,4,4
  369,2,2
  370,2,4
  371,3,6
  372,2,6
  373,2,6
  374,2,3
  375,3,3
  376,1,3
  377,3,3
  378,2,3
  379,3,3
  380,1,3
  381,4,6
  382,4,6
  383,1,5
  384,1,6
  385,2,3
  386,1,6
  387,2,4
  388,3,3
  389,3,3
  390,3,3
  391,2,3
  392,1,6
  393,1,1
  394,1,3
  395,2,3
  396,3,3
  397,3,3
  398,1,2
  399,1,1
  400,1,1
  401,2,4
  402,1,6
  403,4,4
  404,6,6
  405,1,6
  406,6,6
  407,1,1
  408,4,6
  409,1,1
  410,2,3
  411,1,3
  412,2,5
  413,2,2
  414,2,2
  415,1,1
  416,1,2
  417,4,4
  418,1,1
  419,2,2
  420,6,6
  421,1,1
  422,6,6
  423,1,1
  424,3,4
  425,1,5
  426,1,1
  427,3,4
  428,1,1
  429,3,3
  430,1,1
  431,6,6
  432,4,4
  433,4,6
  434,3,5
  435,2,3
  436,3,5
  437,1,3
  438,2,2
  439,6,6
  440,3,4
  441,1,2
  442,2,2
  443,1,2
  444,2,2
  445,4,6
  446,2,2
  447,4,6
  448,2,6
  449,2,2
  450,3,3
  451,3,4
  452,3,6
  453,6,6
  454,2,3
  455,1,3
  456,3,6
  457,1,2
  458,1,3
  459,1,1
  460,6,6
  461,1,1
  462,2,4
  463,3,4
  464,1,5
  465,1,3
  466,1,3
  467,4,4
  468,2,3
  469,5,5
  470,2,2
  471,2,4
  472,3,6
  473,1,1
  474,2,2
  475,1,4
  476,2,4
  477,1,4
  478,1,2
  479,4,4
  480,3,4
  481,3,3
  482,3,6
  483,2,2
  484,2,2
  485,2,4
  486,1,1
  487,1,3
  488,1,6
  489,5,5
  490,2,3
  491,3,4
  492,2,3
  493,6,6
  494,3,3
  495,1,1
  496,2,6
  497,2,2
  498,2,2
  499,3,3
  500,1,1
  501,2,2
  502,6,6
  503,4,4
  504,3,6
  505,2,2
  506,1,1
  507,2,3
  508,3,3
  509,5,5
  510,3,4
  511,1,5
  512,1,3
  513,3,3
  514,2,2
  515,3,3
  516,3,3
  517,3,6
  518,1,6
  519,1,1
  520,1,5
  521,2,4
  522,4,4
  523,2,5
  524,2,6
  525,1,1
  526,2,2
  527,1,6
  528,2,4
  529,2,6
  530,1,3
  531,2,5
  532,4,4
  533,6,6
  534,3,4
  535,3,5
  536,2,2
  537,2,6
  538,1,1
  539,2,2
  540,2,2
  541,6,6
  542,1,4
  543,1,5
  544,2,4
  545,2,2
  546,5,6
  547,1,1
  548,3,6
  549,1,5
  550,1,6
  551,1,3
  552,1,3
  553,1,1
  554,3,3
  555,1,1
  556,2,4
  557,4,4
  558,3,6
  559,2,2
  560,4,6
  561,4,4
  562,5,6
  563,2,2
  564,4,4
  565,2,2
  566,3,6
  567,2,2
  568,4,6
  569,6,6
  570,5,6
  571,2,2
  572,2,4
  573,3,6
  574,3,6
  575,2,2
  576,2,5
  577,1,3
  578,1,5
  579,4,6
  580,4,4
  581,2,4
  582,3,4
  583,1,5
  584,1,5
  585,2,3
  586,4,6
  587,3,6
  588,2,3
  589,2,2
  590,1,1
  591,2,2
  592,5,6
  593,1,2
  594,1,6
  595,4,4
  596,4,4
  597,3,4
  598,2,2
  599,3,6
  600,1,1
  601,1,6
  602,6,6
  603,1,6
  604,1,1
  605,3,3
  606,1,3
  607,1,6
  608,1,1
  609,3,3
  610,2,2
  611,3,5
  612,3,4
  613,3,4
  614,1,2
