CASEID,wer_01,wer_03,wer_04,wer_05,wer_06,wer_07,wer_08,wer_09
    1, 6,96, 8,10,10, 6, 7,10
    2,10, 5, 8, 8, 5, 5,10,10
    3,96,96,96,96,96,96,96,96
    4,96,96,96,96,96,96,96,96
    5,10, 9, 9,10, 9, 5, 9, 9
    6, 8, 0, 8, 8, 7, 7, 3, 6
    7,10, 7,10,10, 5, 8,10,10
    8, 5,10, 6, 7, 8, 4, 5, 5
    9, 9, 3, 9, 9, 1, 4, 7, 9
   10, 9, 0,10,10, 0, 0,10,10
   11,96,96,96,96,96,96,96,96
   12,96,96,96,96,96,96,96,96
   13,96,96,96,96,96,96,96,96
   14, 8, 6, 9,10,10, 3, 5, 8
   15,10,10,10,10, 7, 3,10,10
   16,96,96,96,96,96,96,96,96
   17,96,96,96,96,96,96,96,96
   18,96,96,96,96,96,96,96,96
   19, 8, 7, 8,10, 0, 5, 9, 8
   20,10, 8,10,10, 0, 0,10,10
   21,10,10,10,10, 0, 0,10,10
   22,96,96,96,96,96,96,96,96
   23, 9,96,10,10,10, 2, 7, 8
   24,96,96,96,96,96,96,96,96
   25, 8, 5, 9,10, 0, 4,10,10
   26, 8, 4, 8, 9, 5, 7, 7, 7
   27,96,96,96,96,96,96,96,96
   28,10,10,10,10, 5,10, 0,10
   29, 5, 9, 9, 9, 5, 6, 8, 8
   30,96,96,96,96,96,96,96,96
   31,96,96,96,96,96,96,96,96
   32,96,96,96,96,96,96,96,96
   33, 7, 7, 6, 8, 2, 1, 7, 5
   34,10,10,10,10,10, 3, 8,10
   35,96,96,96,96,96,96,96,96
   36,10, 3, 0,10,10, 7, 9,10
   37,96,96,96,96,96,96,96,96
   38,96,96,96,96,96,96,96,96
   39,10, 5,10,10, 1, 1,10,10
   40,96,96,96,96,96,96,96,96
   41, 7, 0, 7,10, 0, 0, 7,10
   42, 6, 5, 6, 9, 6, 3, 5, 8
   43, 2, 6, 8, 8, 7, 4, 6, 8
   44,96,96,96,96,96,96,96,96
   45,96,96,96,96,96,96,96,96
   46, 0, 5,10,10, 0, 5, 8,10
   47, 5,96,10,10, 0, 5,10,10
   48,96,96,96,96,96,96,96,96
   49,96,96,96,96,96,96,96,96
   50,96,96,96,96,96,96,96,96
   51,96,96,96,96,96,96,96,96
   52,96,96,96,96,96,96,96,96
   53,96,96,96,96,96,96,96,96
   54,96,96,96,96,96,96,96,96
   55,96,96,96,96,96,96,96,96
   56, 8, 4, 8, 8, 4, 4, 8, 8
   57,96,96,96,96,96,96,96,96
   58, 2,96,10,10, 8, 7, 8,10
   59, 9,10,10,10, 9, 9,10,10
   60,10, 5, 7,10, 0, 5,10,10
   61, 8, 0, 8,10, 2, 2,10,10
   62,10, 7,10,10,10, 0,10,10
   63, 9, 6,10,10, 6, 3,10,10
   64,10, 2,10,10,10, 8, 9,10
   65,96,96,96,96,96,96,96,96
   66, 7, 7, 8, 7,10, 5, 7, 7
   67, 5, 7,10,10, 0, 2, 2, 9
   68, 7, 7, 7, 7, 7, 7, 8, 8
   69,96,96,96,96,96,96,96,96
   70,10, 5,10,10, 0, 1,10,10
   71,10,10,10,10, 5, 8,10,10
   72,96,96,96,96,96,96,96,96
   73,96,96,96,96,96,96,96,96
   74,10, 2,10,10, 4, 3, 8,10
   75,96,96,96,96,96,96,96,96
   76, 7, 5,10,10,10, 0,10,10
   77,10, 2,10,10, 5, 0, 8,10
   78,96,96,96,96,96,96,96,96
   79, 5,10, 8,10,10, 7, 8,10
   80,10,96,10,10, 0, 5,10,10
   81,10, 6, 9,10, 0, 7,10,10
   82,10,96, 5, 7, 5, 8, 9,10
   83,10, 8,10, 8, 0,10,10,10
   84, 6, 5, 6,10, 5, 4, 7, 9
   85,10,10,10,10, 0, 0,10,10
   86,96,96,96,96,96,96,96,96
   87,96,96,96,96,96,96,96,96
   88,10, 7,10,10, 0, 2,10,10
   89,96,96,96,96,96,96,96,96
   90,96,96,96,96,96,96,96,96
   91,96,96,96,96,96,96,96,96
   92,10, 6, 9,10, 8, 6, 7,10
   93, 8, 5, 8,10, 5, 3, 5, 8
   94, 8, 5, 9,10,10, 5, 9, 8
   95, 8, 5, 5,10, 5, 4, 8, 5
   96,10, 5,10,10, 5, 8,10,10
   97,96,96,96,96,96,96,96,96
   98,96,96,96,96,96,96,96,96
   99,96,96,96,96,96,96,96,96
  100, 8, 7, 8,10, 5, 5, 4, 9
  101,10, 0,10,10, 0, 0,10,10
  102, 9, 0, 8, 9, 0, 2,10,10
  103,10,10,10,10,10, 7,10,10
  104, 8, 5, 8, 9, 5, 2, 9, 9
  105, 8,10,10,10, 0, 5,10,10
  106,96,96,96,96,96,96,96,96
  107,10, 5,10,10, 0, 0,10,10
  108,10, 7,10,10, 4, 6,10,10
